name	id	component_based	item_version	component_nbt_bytes
minecraft:green_bundle	863	true	DATA_DRIVEN	855
minecraft:iron_chestplate	347	false	NONE	3
minecraft:waxed_oxidized_cut_copper_stairs	-448	false	NONE	3
minecraft:torch	50	false	NONE	3
minecraft:light_blue_bundle	864	true	DATA_DRIVEN	870
minecraft:element_15	-26	false	NONE	3
minecraft:magenta_terracotta	-725	false	NONE	3
minecraft:nether_star	528	false	NONE	3
minecraft:enchanted_golden_apple	259	false	LEGACY	644
minecraft:polished_tuff_double_slab	-750	false	NONE	3
minecraft:tuff	-333	false	NONE	3
minecraft:light_gray_bundle	865	true	DATA_DRIVEN	870
minecraft:lime_bundle	866	true	DATA_DRIVEN	852
minecraft:element_78	-89	false	NONE	3
minecraft:honeycomb	603	false	LEGACY	3
minecraft:smooth_basalt	-377	false	NONE	3
minecraft:pale_oak_sign	724	false	NONE	3
minecraft:glow_berries	879	false	LEGACY	360
minecraft:music_disc_stal	551	true	NONE	3
minecraft:netherite_sword	617	false	NONE	3
minecraft:compass	394	false	NONE	3
minecraft:coast_armor_trim_smithing_template	697	false	NONE	3
minecraft:magenta_bundle	867	true	DATA_DRIVEN	861
minecraft:stripped_crimson_stem	-240	false	NONE	3
minecraft:pale_moss_carpet	-1010	false	NONE	3
minecraft:camera	607	false	LEGACY	245
minecraft:chorus_fruit	568	false	LEGACY	219
minecraft:medium_amethyst_bud	-331	false	NONE	3
minecraft:lapis_lazuli	417	false	NONE	3
minecraft:waxed_copper_grate	-772	false	NONE	3
minecraft:suspicious_stew	602	false	LEGACY	239
minecraft:wooden_door	362	false	NONE	3
minecraft:music_disc_wait	555	true	NONE	3
minecraft:orange_bundle	868	true	DATA_DRIVEN	858
minecraft:balloon	612	false	NONE	3
minecraft:smooth_sandstone_double_slab	-916	false	NONE	3
minecraft:purple_bundle	870	true	DATA_DRIVEN	858
minecraft:white_candle_cake	-430	false	NONE	3
minecraft:respawn_anchor	-272	false	NONE	3
minecraft:red_bundle	871	true	DATA_DRIVEN	849
minecraft:jungle_door	565	false	NONE	3
minecraft:music_disc_cat	545	true	NONE	3
minecraft:dead_tube_coral_wall_fan	-905	false	NONE	3
minecraft:deepslate_lapis_ore	-400	false	NONE	3
minecraft:white_bundle	872	true	DATA_DRIVEN	855
minecraft:flint_and_steel	301	false	NONE	3
minecraft:zoglin_spawn_egg	503	false	NONE	3
minecraft:granite_stairs	-169	false	NONE	3
minecraft:mourner_pottery_sherd	685	false	NONE	3
minecraft:yellow_bundle	873	true	DATA_DRIVEN	858
minecraft:trapped_chest	146	false	NONE	3
minecraft:pufferfish	267	false	LEGACY	499
minecraft:bucket	363	false	NONE	3
minecraft:ancient_debris	-271	false	NONE	3
minecraft:copper_sword	747	false	NONE	3
minecraft:clay_ball	387	false	NONE	3
minecraft:diorite_wall	-973	false	NONE	3
minecraft:wind_charge	877	true	DATA_DRIVEN	797
minecraft:element_68	-79	false	NONE	3
minecraft:white_candle	-413	false	NONE	3
minecraft:sweet_berries	287	false	LEGACY	424
minecraft:cinnabar_bricks	-1119	false	NONE	3
minecraft:resin_brick	726	false	NONE	3
minecraft:deepslate_tile_wall	-390	false	NONE	3
minecraft:golden_carrot	283	false	LEGACY	208
minecraft:smooth_quartz_slab	-898	false	NONE	3
minecraft:breeze_rod	874	true	DATA_DRIVEN	491
minecraft:command_block	137	false	NONE	3
minecraft:potion	430	false	NONE	3
minecraft:chicken	275	false	LEGACY	302
minecraft:pale_oak_chest_boat	723	false	NONE	3
minecraft:strider_spawn_egg	500	false	NONE	3
minecraft:carrot	279	false	LEGACY	334
minecraft:raw_gold_block	-453	false	NONE	3
minecraft:black_carpet	-611	false	NONE	3
minecraft:vex_armor_trim_smithing_template	701	false	NONE	3
minecraft:ominous_trial_key	875	true	DATA_DRIVEN	471
minecraft:dead_fire_coral_fan	-846	false	NONE	3
minecraft:smooth_stone	-183	false	NONE	3
minecraft:element_43	-54	false	NONE	3
minecraft:beetroot	285	false	LEGACY	208
minecraft:music_disc_strad	552	true	NONE	3
minecraft:chiseled_cinnabar	-1124	false	NONE	3
minecraft:iron_sword	309	false	NONE	3
minecraft:trial_key	876	true	DATA_DRIVEN	455
minecraft:green_harness	735	false	NONE	3
minecraft:torchflower_seeds	296	false	LEGACY	151
minecraft:lantern	-208	false	NONE	3
minecraft:red_sandstone_slab	182	false	NONE	3
minecraft:moss_carpet	-335	false	NONE	3
minecraft:netherite_horse_armor	766	false	NONE	3
minecraft:red_nether_brick	215	false	NONE	3
minecraft:honey_bottle	604	false	LEGACY	266
minecraft:bamboo_sign	665	false	NONE	3
minecraft:apple	878	true	DATA_DRIVEN	741
minecraft:stripped_oak_log	-10	false	NONE	3
minecraft:element_50	-61	false	NONE	3
minecraft:board	606	false	NONE	3
minecraft:iron_bars	101	false	NONE	3
minecraft:polar_bear_spawn_egg	477	false	NONE	3
minecraft:element_80	-91	false	NONE	3
minecraft:pitcher_pod	297	false	LEGACY	147
minecraft:powder_snow	-306	false	NONE	3
minecraft:lime_carpet	-601	false	NONE	3
minecraft:pink_tulip	-836	false	NONE	3
minecraft:baked_potato	281	false	LEGACY	208
minecraft:horse_spawn_egg	462	false	NONE	3
minecraft:gray_stained_glass_pane	-649	false	NONE	3
minecraft:beef	273	false	LEGACY	208
minecraft:blaze_spawn_egg	460	false	NONE	3
minecraft:spruce_planks	-739	false	NONE	3
minecraft:element_27	-38	false	NONE	3
minecraft:wild_armor_trim_smithing_template	698	false	NONE	3
minecraft:beetroot_seeds	295	false	LEGACY	143
minecraft:bamboo_double_slab	-521	false	NONE	3
minecraft:element_35	-46	false	NONE	3
minecraft:cherry_chest_boat	663	false	NONE	3
minecraft:bread	261	false	LEGACY	208
minecraft:stonecutter_block	-197	false	NONE	3
minecraft:exposed_copper	-341	false	NONE	3
minecraft:cooked_beef	274	false	LEGACY	208
minecraft:comparator	532	true	NONE	3
minecraft:smoker	-198	false	NONE	3
minecraft:rabbit_foot	538	false	NONE	3
minecraft:lingering_potion	572	false	NONE	3
minecraft:campfire	601	true	NONE	3
minecraft:mangrove_wood	-497	false	NONE	3
minecraft:cooked_chicken	276	false	LEGACY	208
minecraft:element_34	-45	false	NONE	3
minecraft:cod	264	false	LEGACY	236
minecraft:prismarine_bricks_stairs	-4	false	NONE	3
minecraft:cooked_rabbit	289	false	LEGACY	208
minecraft:glow_squid_spawn_egg	509	false	NONE	3
minecraft:music_disc_chirp	547	true	NONE	3
minecraft:porkchop	262	false	LEGACY	208
minecraft:cookie	271	false	LEGACY	208
minecraft:chipped_anvil	-959	false	NONE	3
minecraft:pink_carpet	-602	false	NONE	3
minecraft:slime_spawn_egg	449	false	NONE	3
minecraft:dried_kelp	270	false	LEGACY	208
minecraft:angler_pottery_sherd	670	false	NONE	3
minecraft:golden_apple	258	false	LEGACY	434
minecraft:music_disc_bounce	835	true	NONE	3
minecraft:melon_seeds	293	false	LEGACY	145
minecraft:glass_bottle	431	false	NONE	3
minecraft:element_44	-55	false	NONE	3
minecraft:cooked_mutton	561	false	LEGACY	208
minecraft:sculk_vein	-459	false	NONE	3
minecraft:waxed_cut_copper_slab	-365	false	NONE	3
minecraft:infested_mossy_stone_bricks	-860	false	NONE	3
minecraft:mutton	560	false	LEGACY	208
minecraft:red_stained_glass	-686	false	NONE	3
minecraft:acacia_shelf	-1051	false	NONE	3
minecraft:nether_wart	294	false	LEGACY	137
minecraft:spruce_stairs	134	false	NONE	3
minecraft:element_13	-24	false	NONE	3
minecraft:poisonous_potato	282	false	LEGACY	302
minecraft:bookshelf	47	false	NONE	3
minecraft:golden_horse_armor	542	false	NONE	3
minecraft:smooth_quartz_stairs	-185	false	NONE	3
minecraft:potato	280	false	LEGACY	335
minecraft:cinnabar_brick_stairs	-1122	false	NONE	3
minecraft:chiseled_copper	-760	false	NONE	3
minecraft:obsidian	49	false	NONE	3
minecraft:prize_pottery_sherd	687	false	NONE	3
minecraft:pumpkin_pie	284	false	LEGACY	208
minecraft:polished_granite	-591	false	NONE	3
minecraft:command_block_minecart	573	false	NONE	3
minecraft:chest	54	false	NONE	3
minecraft:pumpkin_seeds	292	false	LEGACY	147
minecraft:element_2	-13	false	NONE	3
minecraft:sea_lantern	169	false	NONE	3
minecraft:rabbit	288	false	LEGACY	208
minecraft:creeper_banner_pattern	592	false	NONE	3
minecraft:element_94	-105	false	NONE	3
minecraft:skull_pottery_sherd	691	false	NONE	3
minecraft:yellow_concrete	-631	false	NONE	3
minecraft:rabbit_stew	290	false	LEGACY	239
minecraft:spruce_wood	-814	false	NONE	3
minecraft:rotten_flesh	277	false	LEGACY	302
minecraft:element_62	-73	false	NONE	3
minecraft:witch_spawn_egg	456	false	NONE	3
minecraft:dirt	3	false	NONE	3
minecraft:deepslate_bricks	-391	false	NONE	3
minecraft:salmon	265	false	LEGACY	236
minecraft:spider_eye	278	false	LEGACY	302
minecraft:hard_pink_stained_glass	-693	false	NONE	3
minecraft:wheat_seeds	291	false	LEGACY	140
minecraft:white_tulip	-835	false	NONE	3
minecraft:element_39	-50	false	NONE	3
minecraft:element_83	-94	false	NONE	3
minecraft:lodestone_compass	616	false	NONE	3
minecraft:stone_brick_stairs	109	false	NONE	3
minecraft:yellow_glazed_terracotta	224	false	NONE	3
minecraft:blue_carpet	-607	false	NONE	3
minecraft:portal	90	false	NONE	3
minecraft:gold_ingot	308	false	NONE	3
minecraft:iron_ingot	307	false	NONE	3
minecraft:brown_concrete_powder	-720	false	NONE	3
minecraft:oak_chest_boat	651	false	NONE	3
minecraft:egg	393	false	NONE	3
minecraft:cow_spawn_egg	440	false	NONE	3
minecraft:element_71	-82	false	NONE	3
minecraft:happy_ghast_spawn_egg	729	false	NONE	3
minecraft:hard_brown_stained_glass	-699	false	NONE	3
minecraft:iron_pickaxe	299	false	NONE	3
minecraft:pillager_spawn_egg	496	false	NONE	3
minecraft:stained_glass_pane	827	false	NONE	3
minecraft:stone_axe	317	false	NONE	3
minecraft:polished_diorite_slab	-895	false	NONE	3
minecraft:purpur_pillar	-951	false	NONE	3
minecraft:element_77	-88	false	NONE	3
minecraft:element_1	-12	false	NONE	3
minecraft:hay_block	170	false	NONE	3
minecraft:music_disc_creator_music_box	831	true	NONE	3
minecraft:wooden_shovel	311	false	NONE	3
minecraft:nautilus_shell	580	false	NONE	3
minecraft:camel_husk_spawn_egg	669	false	NONE	3
minecraft:copper_door	-784	false	NONE	3
minecraft:element_3	-14	false	NONE	3
minecraft:light_blue_glazed_terracotta	223	false	NONE	3
minecraft:stone_sword	314	false	NONE	3
minecraft:white_dye	413	false	NONE	3
minecraft:camel_spawn_egg	668	false	NONE	3
minecraft:yellow_candle	-417	false	NONE	3
minecraft:dune_armor_trim_smithing_template	696	false	NONE	3
minecraft:golden_dandelion	-1091	false	NONE	3
minecraft:element_14	-25	false	NONE	3
minecraft:diamond_pickaxe	320	false	NONE	3
minecraft:cherry_wall_sign	-544	false	NONE	3
minecraft:tube_coral_block	-132	false	NONE	3
minecraft:mossy_stone_bricks	-868	false	NONE	3
minecraft:water_bucket	365	false	NONE	3
minecraft:element_74	-85	false	NONE	3
minecraft:dead_brain_coral_wall_fan	-906	false	NONE	3
minecraft:shulker_spawn_egg	474	false	NONE	3
minecraft:red_dye	399	false	NONE	3
minecraft:bone	418	false	NONE	3
minecraft:tadpole_bucket	643	false	NONE	3
minecraft:golden_chestplate	355	false	NONE	3
minecraft:hard_stained_glass	838	false	NONE	3
minecraft:element_84	-95	false	NONE	3
minecraft:iron_axe	300	false	NONE	3
minecraft:raw_iron	516	false	NONE	3
minecraft:iron_shovel	298	false	NONE	3
minecraft:element_104	-115	false	NONE	3
minecraft:light_gray_stained_glass_pane	-650	false	NONE	3
minecraft:stone_shovel	315	false	NONE	3
minecraft:light_block_15	-943	false	NONE	3
minecraft:smooth_stone_slab	44	false	NONE	3
minecraft:melon_block	103	false	NONE	3
minecraft:oxeye_daisy	-837	false	NONE	3
minecraft:arrow	303	true	NONE	3
minecraft:coal	304	true	NONE	3
minecraft:diamond	306	false	NONE	3
minecraft:music_disc_mall	549	true	NONE	3
minecraft:oxidized_cut_copper_stairs	-357	false	NONE	3
minecraft:wooden_sword	310	false	NONE	3
minecraft:netherite_boots	626	false	NONE	3
minecraft:waxed_exposed_copper_lantern	-1088	false	NONE	3
minecraft:farmland	60	false	NONE	3
minecraft:wooden_axe	313	false	NONE	3
minecraft:zombie_pigman_spawn_egg	452	false	NONE	3
minecraft:crimson_trapdoor	-246	false	NONE	3
minecraft:raw_gold	517	false	NONE	3
minecraft:planks	814	false	NONE	3
minecraft:salmon_bucket	368	false	NONE	3
minecraft:stone_pickaxe	316	false	NONE	3
minecraft:diamond_shovel	319	false	NONE	3
minecraft:resin_brick_stairs	-1016	false	NONE	3
minecraft:exposed_copper_trapdoor	-793	false	NONE	3
minecraft:chainmail_helmet	342	false	NONE	3
minecraft:oxidized_copper_trapdoor	-795	false	NONE	3
minecraft:smithing_table	-202	false	NONE	3
minecraft:end_stone_brick_slab	-162	false	NONE	3
minecraft:diamond_sword	318	false	NONE	3
minecraft:colored_torch_purple	-964	false	NONE	3
minecraft:diamond_axe	321	false	NONE	3
minecraft:mangrove_boat	648	false	NONE	3
minecraft:hard_glass	253	false	NONE	3
minecraft:dark_prismarine_slab	-886	false	NONE	3
minecraft:mace	322	false	NONE	3
minecraft:deepslate_brick_slab	-392	false	NONE	3
minecraft:spyglass	638	false	NONE	3
minecraft:flow_armor_trim_smithing_template	711	false	NONE	3
minecraft:stick	323	false	NONE	3
minecraft:sulfur_spike	-1125	false	NONE	3
minecraft:raiser_armor_trim_smithing_template	708	false	NONE	3
minecraft:azure_bluet	-832	false	NONE	3
minecraft:mangrove_hanging_sign	-508	false	NONE	3
minecraft:warped_wart_block	-227	false	NONE	3
minecraft:vine	106	false	NONE	3
minecraft:spruce_fence	-579	false	NONE	3
minecraft:flowing_water	8	false	NONE	3
minecraft:bowl	324	false	NONE	3
minecraft:arms_up_pottery_sherd	672	false	NONE	3
minecraft:petrified_oak_slab	-902	false	NONE	3
minecraft:golden_sword	325	false	NONE	3
minecraft:lit_deepslate_redstone_ore	-404	false	NONE	3
minecraft:golden_shovel	326	false	NONE	3
minecraft:lit_redstone_lamp	124	false	NONE	3
minecraft:golden_pickaxe	327	false	NONE	3
minecraft:cinnabar_double_slab	-1111	false	NONE	3
minecraft:green_wool	-560	false	NONE	3
minecraft:elytra	574	false	NONE	3
minecraft:element_52	-63	false	NONE	3
minecraft:golden_axe	328	false	NONE	3
minecraft:sulfur_cube_spawn_egg	767	false	NONE	3
minecraft:poplar_sapling	-1143	false	NONE	3
minecraft:string	329	true	NONE	3
minecraft:feather	330	false	NONE	3
minecraft:gunpowder	331	false	NONE	3
minecraft:birch_sapling	-826	false	NONE	3
minecraft:acacia_stairs	163	false	NONE	3
minecraft:wooden_hoe	332	false	NONE	3
minecraft:skull_banner_pattern	593	false	NONE	3
minecraft:brown_terracotta	-735	false	NONE	3
minecraft:panda_spawn_egg	494	false	NONE	3
minecraft:brick_wall	-976	false	NONE	3
minecraft:blue_orchid	-830	false	NONE	3
minecraft:stone_hoe	333	false	NONE	3
minecraft:snow_golem_spawn_egg	511	false	NONE	3
minecraft:cinnabar_wall	-1113	false	NONE	3
minecraft:iron_hoe	334	false	NONE	3
minecraft:diamond_hoe	335	false	NONE	3
minecraft:stripped_cherry_wood	-545	false	NONE	3
minecraft:element_86	-97	false	NONE	3
minecraft:cherry_sign	664	false	NONE	3
minecraft:golden_hoe	336	false	NONE	3
minecraft:magenta_dye	411	false	NONE	3
minecraft:wheat	337	false	NONE	3
minecraft:petrified_oak_double_slab	-903	false	NONE	3
minecraft:leather_helmet	338	false	NONE	3
minecraft:glow_frame	636	true	NONE	3
minecraft:silence_armor_trim_smithing_template	706	false	NONE	3
minecraft:leather_chestplate	339	false	NONE	3
minecraft:element_105	-116	false	NONE	3
minecraft:poplar_sign	771	false	NONE	3
minecraft:sulfur_slab	-1093	false	NONE	3
minecraft:leather_leggings	340	false	NONE	3
minecraft:lodestone	-222	false	NONE	3
minecraft:leather_boots	341	false	NONE	3
minecraft:glistering_melon_slice	438	false	NONE	3
minecraft:end_gateway	209	false	NONE	3
minecraft:chainmail_chestplate	343	false	NONE	3
minecraft:item.beetroot	244	false	NONE	3
minecraft:dark_oak_double_slab	-813	false	NONE	3
minecraft:chainmail_leggings	344	false	NONE	3
minecraft:chainmail_boots	345	false	NONE	3
minecraft:stripped_poplar_wood	-1141	false	NONE	3
minecraft:purple_cushion	785	false	NONE	3
minecraft:iron_helmet	346	false	NONE	3
minecraft:snowball	377	true	NONE	3
minecraft:iron_leggings	348	false	NONE	3
minecraft:iron_boots	349	false	NONE	3
minecraft:burn_pottery_sherd	675	false	NONE	3
minecraft:diamond_helmet	350	false	NONE	3
minecraft:ender_eye	437	false	NONE	3
minecraft:music_disc_pigstep	633	true	NONE	3
minecraft:hard_cyan_stained_glass_pane	-666	false	NONE	3
minecraft:stripped_jungle_wood	-822	false	NONE	3
minecraft:magenta_stained_glass	-674	false	NONE	3
minecraft:element_64	-75	false	NONE	3
minecraft:stone_pressure_plate	70	false	NONE	3
minecraft:rose_bush	-866	false	NONE	3
minecraft:diamond_chestplate	351	false	NONE	3
minecraft:sand	12	false	NONE	3
minecraft:diamond_leggings	352	false	NONE	3
minecraft:axolotl_spawn_egg	507	false	NONE	3
minecraft:cut_copper_slab	-361	false	NONE	3
minecraft:diamond_boots	353	false	NONE	3
minecraft:element_51	-62	false	NONE	3
minecraft:green_stained_glass	-685	false	NONE	3
minecraft:golden_helmet	354	false	NONE	3
minecraft:glowstone	89	false	NONE	3
minecraft:golden_leggings	356	false	NONE	3
minecraft:polished_deepslate_stairs	-385	false	NONE	3
minecraft:golden_boots	357	false	NONE	3
minecraft:light_blue_cushion	779	false	NONE	3
minecraft:shield	358	false	NONE	3
minecraft:wet_sponge	-984	false	NONE	3
minecraft:cyan_carpet	-605	false	NONE	3
minecraft:flint	359	false	NONE	3
minecraft:carpet	790	false	NONE	3
minecraft:agent_spawn_egg	492	false	NONE	3
minecraft:painting	360	false	NONE	3
minecraft:heart_of_the_sea	581	false	NONE	3
minecraft:colored_torch_blue	204	false	NONE	3
minecraft:oak_sign	361	false	NONE	3
minecraft:milk_bucket	364	false	NONE	3
minecraft:flow_banner_pattern	599	false	NONE	3
minecraft:mangrove_fence_gate	-492	false	NONE	3
minecraft:magenta_glazed_terracotta	222	false	NONE	3
minecraft:lava_bucket	366	false	NONE	3
minecraft:cod_bucket	367	false	NONE	3
minecraft:vindicator_spawn_egg	479	false	NONE	3
minecraft:polished_cinnabar_wall	-1118	false	NONE	3
minecraft:tropical_fish_bucket	369	false	NONE	3
minecraft:crimson_pressure_plate	-262	false	NONE	3
minecraft:oxidized_copper_chain	-1077	false	NONE	3
minecraft:spruce_fence_gate	183	false	NONE	3
minecraft:exposed_cut_copper_slab	-362	false	NONE	3
minecraft:element_70	-81	false	NONE	3
minecraft:dead_brain_coral_block	-854	false	NONE	3
minecraft:pufferfish_bucket	370	false	NONE	3
minecraft:item.nether_wart	115	false	NONE	3
minecraft:powder_snow_bucket	371	false	NONE	3
minecraft:evoker_spawn_egg	480	false	NONE	3
minecraft:music_disc_11	554	true	NONE	3
minecraft:wolf_spawn_egg	443	false	NONE	3
minecraft:damaged_anvil	-960	false	NONE	3
minecraft:parrot_spawn_egg	483	false	NONE	3
minecraft:axolotl_bucket	372	false	NONE	3
minecraft:cyan_concrete_powder	-717	false	NONE	3
minecraft:minecart	373	false	NONE	3
minecraft:red_cushion	786	false	NONE	3
minecraft:saddle	374	false	NONE	3
minecraft:iron_door	375	false	NONE	3
minecraft:redstone	376	false	NONE	3
minecraft:weathered_chiseled_copper	-762	false	NONE	3
minecraft:black_cushion	773	false	NONE	3
minecraft:closed_eyeblossom	-1019	false	NONE	3
minecraft:heavy_core	-316	false	NONE	3
minecraft:sniffer_egg	-596	false	NONE	3
minecraft:sheep_spawn_egg	442	false	NONE	3
minecraft:poplar_fence	-1128	false	NONE	3
minecraft:waxed_weathered_copper_bars	-1072	false	NONE	3
minecraft:dead_fire_coral_wall_fan	-909	false	NONE	3
minecraft:sulfur_bricks	-1102	false	NONE	3
minecraft:white_shulker_box	218	false	NONE	3
minecraft:activator_rail	126	false	NONE	3
minecraft:oak_boat	378	false	NONE	3
minecraft:red_sandstone_wall	-982	false	NONE	3
minecraft:fire_coral_fan	-842	false	NONE	3
minecraft:elder_guardian_spawn_egg	476	false	NONE	3
minecraft:crossbow	585	false	NONE	3
minecraft:element_97	-108	false	NONE	3
minecraft:birch_boat	379	false	NONE	3
minecraft:polished_granite_stairs	-172	false	NONE	3
minecraft:lime_stained_glass_pane	-647	false	NONE	3
minecraft:jungle_boat	380	false	NONE	3
minecraft:decorated_pot	-551	false	NONE	3
minecraft:light_blue_terracotta	-726	false	NONE	3
minecraft:spruce_boat	381	false	NONE	3
minecraft:copper_bulb	-776	false	NONE	3
minecraft:silverfish_spawn_egg	447	false	NONE	3
minecraft:deepslate_coal_ore	-406	false	NONE	3
minecraft:element_9	-20	false	NONE	3
minecraft:tuff_slab	-744	false	NONE	3
minecraft:acacia_boat	382	false	NONE	3
minecraft:dark_oak_boat	383	false	NONE	3
minecraft:skeleton_skull	144	false	NONE	3
minecraft:leather	384	false	NONE	3
minecraft:iron_ore	15	false	NONE	3
minecraft:written_book	522	false	NONE	3
minecraft:snort_pottery_sherd	692	false	NONE	3
minecraft:kelp	385	true	NONE	3
minecraft:brick	386	false	NONE	3
minecraft:white_cushion	787	false	NONE	3
minecraft:globe_banner_pattern	598	false	NONE	3
minecraft:hard_brown_stained_glass_pane	-669	false	NONE	3
minecraft:short_dry_grass	-1028	false	NONE	3
minecraft:gold_nugget	429	false	NONE	3
minecraft:sugar_cane	388	true	NONE	3
minecraft:hard_lime_stained_glass_pane	-662	false	NONE	3
minecraft:lit_pumpkin	91	false	NONE	3
minecraft:netherite_ingot	622	false	NONE	3
minecraft:netherite_upgrade_smithing_template	694	false	NONE	3
minecraft:yellow_terracotta	-727	false	NONE	3
minecraft:heartbreak_pottery_sherd	682	false	NONE	3
minecraft:element_23	-34	false	NONE	3
minecraft:magenta_shulker_box	-614	false	NONE	3
minecraft:sulfur_cube_bucket	768	false	NONE	3
minecraft:paper	389	false	NONE	3
minecraft:granite	-590	false	NONE	3
minecraft:gray_concrete_powder	-715	false	NONE	3
minecraft:book	390	false	NONE	3
minecraft:coral	818	false	NONE	3
minecraft:tadpole_spawn_egg	642	false	NONE	3
minecraft:dead_tube_coral_fan	-134	false	NONE	3
minecraft:dead_horn_coral	-589	false	NONE	3
minecraft:slime_ball	391	false	NONE	3
minecraft:trident	556	false	NONE	3
minecraft:chest_minecart	392	false	NONE	3
minecraft:fishing_rod	395	true	NONE	3
minecraft:sulfur_brick_stairs	-1105	false	NONE	3
minecraft:sulfur_wall	-1096	false	NONE	3
minecraft:jungle_sapling	-827	false	NONE	3
minecraft:clock	396	false	NONE	3
minecraft:andesite_stairs	-171	false	NONE	3
minecraft:reserved6	255	false	NONE	3
minecraft:ocelot_spawn_egg	455	false	NONE	3
minecraft:bogged_spawn_egg	467	false	NONE	3
minecraft:glowstone_dust	397	false	NONE	3
minecraft:black_dye	398	false	NONE	3
minecraft:deny	211	false	NONE	3
minecraft:deepslate_brick_wall	-394	false	NONE	3
minecraft:cyan_shulker_box	-621	false	NONE	3
minecraft:bee_spawn_egg	499	false	NONE	3
minecraft:shulker_box	828	false	NONE	3
minecraft:green_dye	400	false	NONE	3
minecraft:miner_pottery_sherd	684	false	NONE	3
minecraft:red_candle_cake	-444	false	NONE	3
minecraft:dandelion	37	false	NONE	3
minecraft:netherite_nautilus_armor	765	false	NONE	3
minecraft:brown_dye	401	false	NONE	3
minecraft:mud_brick_slab	-478	false	NONE	3
minecraft:pale_oak_wall_sign	-1003	false	NONE	3
minecraft:cut_red_sandstone_slab	-901	false	NONE	3
minecraft:polished_diorite	-593	false	NONE	3
minecraft:blue_dye	402	false	NONE	3
minecraft:frame	524	true	NONE	3
minecraft:item.cake	92	false	NONE	3
